Country,Anthem,translated_anthem,tokens
Albania,"Around our flag we stand united, With one wish and one goal, A sacred oath we bestow upon it Proclaiming loyalty for our salvation. From war abstains only he, Who a traitor is born, He who is a true man is not frightened, But dies a warrior to the cause. With weapons in our hands a-brandished, We will defend our fatherland, Our sacred rights weÃ¢â‚¬â„¢ll not relinquish, The foe has no place in our land. For God himself proclaimed The nations of the earth shall wane, And yet will live, will thrive Albania. For you, for you we fight. O Flag, flag, you sacred symbol Upon you we now swear For Albania, our dear fatherland For honour and your glory. Brave man is named and honoured The one who sacrificed himself for the fatherland Forever he will be remembered On earth and under as a saint!",เราสามัคคีกันยืนหยัดอยู่รอบธงของเรา ด้วยความปรารถนาและเป้าหมายเดียว เราให้คำสาบานศักดิ์สิทธิ์แก่ธงนั้น ประกาศความจงรักภักดีเพื่อความรอดของเรา มีเพียงเขาเท่านั้นที่งดเว้นจากสงคราม ผู้ที่เกิดมาเป็นคนทรยศ ผู้ที่เป็นคนจริงจะไม่หวาดกลัว แต่ตายอย่างนักรบเพื่อชัยชนะ ด้วยอาวุธในมือของเราที่โบกสะบัด เราจะปกป้องมาตุภูมิของเรา สิทธิอันศักดิ์สิทธิ์ของเราเราจะไม่ละทิ้ง ศัตรูไม่มีที่ยืนในแผ่นดินของเรา เพราะพระเจ้าได้ทรงประกาศว่า ประชาชาติต่างๆ ของโลกจะเสื่อมถอย แต่จะยังคงดำรงอยู่และเจริญรุ่งเรือง แอลเบเนีย เพื่อคุณ เพื่อคุณ เราต่อสู้ โอ ธง ธง สัญลักษณ์ศักดิ์สิทธิ์ เราสาบานต่อคุณ เพื่อแอลเบเนีย ปิตุภูมิอันเป็นที่รักของเรา เพื่อเกียรติยศและความรุ่งโรจน์ของคุณ ชายผู้กล้าหาญได้รับการขนานนามและได้รับเกียรติ ผู้ที่เสียสละตนเองเพื่อมาตุภูมิตลอดไป เขาจะถูกจดจำบนโลกและใต้เท้าในฐานะนักบุญ!,เรา สามัคคี กันยืนหยัด อยู่ รอบ ธง ของ เรา   ด้วย ความ ปรารถนา และ เป้าหมาย เดียว   เรา ให้ คำ สาบาน ศักดิ์สิทธิ์ แก่ ธง นั้น   ประกาศ ความ จงรักภักดี เพื่อ ความ รอด ของ เรา   มี เพียง เขา เท่า นั้น ที่ งดเว้น จาก สงคราม   ผู้ ที่ เกิด มา เป็น คน ทรยศ   ผู้ ที่ เป็น คน จริง จะ ไม่ หวาดกลัว   แต่ ตาย อย่าง นัก รบ เพื่อ ชัยชนะ   ด้วย อาวุธ ใน มือ ของ เรา ที่ โบก สะบัด   เรา จะ ปกป้อง มาตุภูมิ ของ เรา   สิทธิ อัน ศักดิ์สิทธิ์ ของ เรา เรา จะ ไม่ ละ ทิ้ง   ศัตรู ไม่ มี ที่ ยืน ใน แผ่นดิน ของ เรา   เพราะ พระเจ้า ได้ ทรง ประกาศ ว่า   ประชาชาติ ต่างๆ   ของ โลก จะ เสื่อม ถอย   แต่ จะ ยังคง ดำรง อยู่ และ เจริญรุ่งเรือง   แอลเบเนีย   เพื่อ คุณ   เพื่อ คุณ   เรา ต่อสู้   โอ   ธง   ธง   สัญลักษณ์ ศักดิ์สิทธิ์   เรา สาบาน ต่อ คุณ   เพื่อ แอลเบเนีย   ปิตุภูมิ อัน เป็น ที่รัก ของ เรา   เพื่อ เกียรติยศ และ ความ รุ่งโรจน์ ของ คุณ   ชาย ผู้ กล้าหาญ ได้ รับ การ ขนาน นาม และ ได้ รับ เกียรติ   ผู้ ที่ เสียสละ ตน เอง เพื่อ มาตุภูมิ ตลอด ไป   เขา จะ ถูก จดจำ บน โลก และ ใต้ เท้า ใน ฐานะ นัก บุญ !
Armenia,"Our Fatherland, free, independent, That has for centuries lived, Is now summoning its sons To the free, independent Armenia. Here is a flag for you, my brother, That I have sewn by hand Over the sleepless nights, And bathed in my tears. Look at it, tricolored, A valuable symbol for us. Let it shine against the enemy. Let you, Armenia, be glorious forever. Death is the same everywhere, A man dies but once, Blessed is the one that dies For the freedom of his nation.",ปิตุภูมิของเรา อิสระและเป็นอิสระ ซึ่งดำรงอยู่มาหลายศตวรรษ กำลังเรียกลูกหลานของตนมาสู่อาร์เมเนียที่เป็นอิสระและเป็นอิสระ นี่คือธงสำหรับคุณ พี่ชายของฉัน ฉันเย็บด้วยมือตลอดคืนที่นอนไม่หลับ และอาบไปด้วยน้ำตาของฉัน ดูมันสิ ธงสามสี สัญลักษณ์อันมีค่าสำหรับเรา ขอให้มันส่องแสงต่อต้านศัตรู ขอให้อาร์เมเนียของคุณได้รับความรุ่งโรจน์ตลอดไป ความตายเหมือนกันทุกที่ คนตายเพียงครั้งเดียว ผู้ที่ตายเพื่ออิสรภาพของชาติของเขาเป็นสุข,ปิตุภูมิ ของ เรา   อิสระ และ เป็น อิสระ   ซึ่ง ดำรง อยู่ มา หลาย ศตวรรษ   กำลัง เรียก ลูกหลาน ของ ตน มา สู่ อาร์เมเนีย ที่ เป็น อิสระ และ เป็น อิสระ   นี่ คือ ธง สำหรับ คุณ   พี่ ชาย ของ ฉัน   ฉัน เย็บ ด้วย มือ ตลอด คืน ที่ นอน ไม่ หลับ   และ อาบ ไป ด้วย น้ำ ตา ของ ฉัน   ดู มัน สิ   ธง สาม สี   สัญลักษณ์ อัน มี ค่า สำหรับ เรา   ขอ ให้ มัน ส่อง แสง ต่อต้าน ศัตรู   ขอ ให้ อาร์เมเนีย ของ คุณ ได้ รับ ความ รุ่งโรจน์ ตลอด ไป   ความ ตาย เหมือน กัน ทุก ที่   คน ตาย เพียง ครั้ง เดียว   ผู้ ที่ ตาย เพื่อ อิสรภาพ ของ ชาติ ของ เขา เป็น สุข
Austria,"Land of mountains, land by the river, Land of fields, land of cathedrals, Land of hammers, with a promising future! Home to great daughters and sons, People highly gifted for beautiful arts, Much-praised Austria! Strongly feuded for, fiercely hard-fought for, Thou liest in the middle of the continent Like a strong heart, Since the early days of the ancestors thou hast Borne the burden of a high mission, Much-tried Austria. Bravely towards the new ages See us striding, free, and faithful, Assiduous and full of hope, Unified, let us in jolly choirs Pledge allegiance to thee, Fatherland Much-beloved Austria. ",ดินแดนแห่งขุนเขา ดินแดนริมแม่น้ำ ดินแดนแห่งทุ่งนา ดินแดนแห่งอาสนวิหาร ดินแดนแห่งค้อน อนาคตที่สดใส! บ้านของลูกสาวและลูกชายผู้ยิ่งใหญ่ ผู้คนที่มีพรสวรรค์ด้านศิลปะอันงดงาม ออสเตรียที่ได้รับการยกย่องอย่างมาก! ทะเลาะเบาะแว้งกันอย่างดุเดือด ต่อสู้กันอย่างดุเดือด เจ้านอนอยู่กลางทวีป เหมือนหัวใจที่เข้มแข็ง ตั้งแต่ยุคแรกๆ ของบรรพบุรุษ เจ้าแบกรับภาระของภารกิจอันยิ่งใหญ่ ออสเตรียที่ผ่านการทดลองมาอย่างมากมาย ก้าวเดินอย่างกล้าหาญสู่ยุคใหม่ ดูเราที่ก้าวเดินอย่างอิสระและซื่อสัตย์ ขยันขันแข็งและเต็มไปด้วยความหวัง เป็นหนึ่งเดียว ขอให้เราเป็นหนึ่งเดียวในคณะนักร้องที่ร่าเริง จงประกาศความจงรักภักดีต่อเจ้า ปิตุภูมิ ออสเตรียที่รักยิ่ง,ดินแดน แห่ง ขุนเขา   ดินแดน ริม แม่น้ำ   ดินแดน แห่ง ทุ่ง นา   ดินแดน แห่ง อาสนวิหาร   ดินแดน แห่ง ค้อน   อนาคต ที่ สดใส !   บ้าน ของ ลูก สาว และ ลูก ชาย ผู้ ยิ่งใหญ่   ผู้คน ที่ มี พรสวรรค์ ด้าน ศิลปะ อัน งดงาม   ออสเตรีย ที่ ได้ รับ การ ยกย่อง อย่าง มาก !   ทะเลาะเบาะแว้ง กัน อย่าง ดุเดือด   ต่อสู้ กัน อย่าง ดุเดือด   เจ้านอน อยู่ กลาง ทวีป   เหมือน หัวใจ ที่ เข้มแข็ง   ตั้งแต่ ยุค แรก ๆ   ของ บรรพบุรุษ   เจ้าแบก รับ ภาระ ของ ภารกิจ อัน ยิ่งใหญ่   ออส เตรีย ที่ ผ่าน การ ทดลอง มา อย่าง มากมาย   ก้าว เดิน อย่าง กล้าหาญ สู่ ยุค ใหม่   ดู เรา ที่ ก้าว เดิน อย่าง อิสระ และ ซื่อสัตย์   ขยันขันแข็ง และ เต็ม ไป ด้วย ความ หวัง   เป็น หนึ่ง เดียว   ขอ ให้ เรา เป็น หนึ่ง เดียว ใน คณะ นัก ร้อง ที่ ร่าเริง   จง ประกาศ ความ จงรักภักดี ต่อ เจ้า ปิตุภูมิ   ออสเตรีย ที่ รัก ยิ่ง
Azerbaijan,"Azerbaijan, Azerbaijan! The glorious Fatherland of our valorous fathers! We stand at the ready to die for thee! We stand at the ready to shed our blood! All so that we may live blissfully under thy tri-color banner! All so that we may live blissfully under thy tri-color banner! Thousands of martyrs had died for thy cause, Thy sweeping plains had become fields of battle! And our warriors had bravely defended thee! Each one a hero in the storied annals of our land! Thou hast now become our rosegarden, Our hearts we are ever-ready to sacrifice! Thy neverÃ¢â‚¬â€œending love for us Hast earned thou a place in our hearts! To uphold thy honor, To keep thy flag waving, To uphold thy honor, The young stand at the ready! The glorious Fatherland! The glorious Fatherland! Azerbaijan! Azerbaijan! Azerbaijan! Azerbaijan!",อาเซอร์ไบจาน อาเซอร์ไบจาน! ปิตุภูมิอันรุ่งโรจน์ของบรรพบุรุษผู้กล้าหาญของเรา! เราพร้อมเสมอที่จะตายเพื่อคุณ! เราพร้อมเสมอที่จะหลั่งเลือด! เพื่อที่เราจะได้ใช้ชีวิตอย่างมีความสุขภายใต้ธงสามสีของคุณ! เพื่อที่เราจะได้ใช้ชีวิตอย่างมีความสุขภายใต้ธงสามสีของคุณ! นักรบนับพันคนได้เสียชีวิตเพื่อคุณ ที่ราบกว้างใหญ่ของคุณได้กลายเป็นสนามรบ! และนักรบของเราได้ปกป้องคุณอย่างกล้าหาญ! แต่ละคนเป็นฮีโร่ในบันทึกประวัติศาสตร์ของแผ่นดินของเรา! ตอนนี้คุณได้กลายเป็นสวนกุหลาบของเราแล้ว หัวใจของเราพร้อมเสมอที่จะเสียสละ! ความรักที่ไม่มีวันสิ้นสุดของคุณที่มีต่อเรา ได้ทำให้คุณมีที่ในใจของเรา! เพื่อรักษาเกียรติของคุณ เพื่อให้ธงของคุณโบกสะบัด เพื่อรักษาเกียรติของคุณ เยาวชนเตรียมพร้อม! ปิตุภูมิอันรุ่งโรจน์! ปิตุภูมิอันรุ่งโรจน์! อาเซอร์ไบจาน! อาเซอร์ไบจาน! อาเซอร์ไบจาน! อาเซอร์ไบจาน!,อาเซอร์ไบจาน   อาเซอร์ไบจาน !   ปิตุภูมิ อัน รุ่งโรจน์ ของ บรรพบุรุษ ผู้ กล้าหาญ ของ เรา !   เรา พร้อม เสมอ ที่ จะ ตาย เพื่อ คุณ !   เรา พร้อม เสมอ ที่ จะ หลั่ง เลือด !   เพื่อ ที่ เรา จะ ได้ ใช้ ชีวิต อย่าง มี ความ สุข ภาย ใต้ ธง สาม สี ของ คุณ !   เพื่อ ที่ เรา จะ ได้ ใช้ ชีวิต อย่าง มี ความ สุข ภาย ใต้ ธง สาม สี ของ คุณ !   นัก รบ นับ พัน คน ได้ เสีย ชีวิต เพื่อ คุณ   ที่ ราบ กว้างใหญ่ ของ คุณ ได้ กลาย เป็น สนาม รบ !   และ นัก รบ ของ เรา ได้ ปกป้อง คุณ อย่าง กล้าหาญ !   แต่ละ คน เป็น ฮีโร่ ใน บันทึก ประวัติศาสตร์ ของ แผ่นดิน ของ เรา !   ตอน นี้ คุณ ได้ กลาย เป็น สวน กุหลาบ ของ เรา แล้ว   หัวใจ ของ เรา พร้อม เสมอ ที่ จะ เสียสละ !   ความ รัก ที่ ไม่ มี วัน สิ้นสุด ของ คุณ ที่ มี ต่อ เรา   ได้ ทำ ให้ คุณ มี ที่ ใน ใจ ของ เรา !   เพื่อ รักษา เกียรติ ของ คุณ   เพื่อ ให้ ธง ของ คุณ โบก สะบัด   เพื่อ รักษา เกียรติ ของ คุณ   เยาวชน เตรียม พร้อม !   ปิตุภูมิ อันรุ่งโรจน์ !   ปิตุภูมิ อันรุ่งโรจน์ !   อาเซอร์ไบจาน !   อาเซอร์ไบจาน !   อาเซอร์ไบจาน !   อาเซอร์ไบจาน !
Belarus,"We, Belarusians, are peaceful people, Wholeheartedly devoted to our Motherland. We are faithful friends, growing up Living in a hardworking and independent family. Glory to the blessed name of our land, Glory to the brotherly union of peoples! Our dearly beloved Motherland, May you live long and prosper, Belarus! Together with our brothers, we for centuries Courageously defended our home's threshold. In battles for freedom, and battles for our lot We have won our banners of victory! Glory to the blessed name of our land, Glory to the brotherly union of peoples! Our dearly beloved Motherland, May you live long and prosper, Belarus! Friendship of peoples is the strength of peoples And it is our sacred sunlit path. Proudly we fly in the clear blue skies, The banner of victory, the sunshine's flag!",พวกเราชาวเบลารุสเป็นคนรักสันติและทุ่มเทให้กับมาตุภูมิของเราอย่างสุดหัวใจ พวกเราเป็นเพื่อนที่ซื่อสัตย์ เติบโตมาในครอบครัวที่ทำงานหนักและเป็นอิสระ สรรเสริญแด่ชื่ออันเป็นบุญของแผ่นดินของเรา สรรเสริญแด่สหภาพพี่น้องของประชาชน! มาตุภูมิอันเป็นที่รักของเรา ขอให้ท่านมีอายุยืนยาวและเจริญรุ่งเรือง เบลารุส! พวกเราได้ร่วมกันปกป้องธรณีประตูบ้านของเราอย่างกล้าหาญมาหลายศตวรรษร่วมกับพี่น้องของเรา ในการต่อสู้เพื่ออิสรภาพและการต่อสู้เพื่อชะตากรรมของเรา เราได้ชัยชนะมาครองแล้ว! สรรเสริญแด่ชื่ออันเป็นบุญของแผ่นดินของเรา สรรเสริญแด่สหภาพพี่น้องของประชาชน! มาตุภูมิอันเป็นที่รักของเรา ขอให้ท่านมีอายุยืนยาวและเจริญรุ่งเรือง เบลารุส! มิตรภาพของประชาชนคือความแข็งแกร่งของประชาชน และเป็นเส้นทางอันศักดิ์สิทธิ์ที่ส่องประกายด้วยแสงแดด เราโบยบินอย่างภาคภูมิใจในท้องฟ้าสีฟ้าใส สรรเสริญแด่ธงแห่งชัยชนะ ธงแห่งแสงแดด!,พวก เรา ชาว เบลารุส เป็น คน รัก สันติ และ ทุ่มเท ให้ กับ มาตุภูมิ ของ เรา อย่าง สุด หัวใจ   พวก เรา เป็น เพื่อน ที่ ซื่อสัตย์   เติบโต มา ใน ครอบครัว ที่ ทำ งาน หนัก และ เป็น อิสระ   สรรเสริญ แด่ ชื่อ อัน เป็น บุญ ของ แผ่นดิน ของ เรา   สรรเสริญ แด่ สหภาพพี่น้อง ของ ประชาชน !   มาตุภูมิ อัน เป็น ที่รัก ของ เรา   ขอ ให้ ท่าน มี อายุ ยืนยาว และ เจริญรุ่งเรือง  เบลารุส !   พวก เรา ได้ ร่วม กัน ปกป้อง ธรณี ประตู บ้าน ของ เรา อย่าง กล้าหาญ มา หลาย ศตวรรษ ร่วม กับ พี่น้อง ของ เรา   ใน การ ต่อสู้ เพื่อ อิสรภาพ และ การ ต่อสู้ เพื่อ ชะตากรรม ของ เรา   เรา ได้ ชัยชนะ มา ครอง แล้ว !   สรรเสริญ แด่ ชื่อ อัน เป็น บุญ ของ แผ่นดิน ของ เรา   สรรเสริญ แด่ สหภาพพี่น้อง ของ ประชาชน !   มาตุภูมิ อัน เป็น ที่รัก ของ เรา   ขอ ให้ ท่าน มี อายุ ยืนยาว และ เจริญรุ่งเรือง เบลารุส !   มิตรภาพ ของ ประชาชน คือ ความ แข็งแกร่ง ของ ประชาชน   และ เป็น เส้นทาง อัน ศักดิ์สิทธิ์ ที่ ส่อง ประกาย ด้วย แสง แดด   เรา โบยบิน อย่าง ภาคภูมิใจ ใน ท้อง ฟ้า สี ฟ้า ใส   สรรเสริญ แด่ ธง แห่งชัยชนะ   ธง แห่ง แสง แดด !
Belgium,"O dear Belgium, O holy land of the fathers Ã¢â‚¬â€œ Our soul and our heart are devoted to you! With blood to spill for you, O fatherland! We swear with one cry Ã¢â‚¬â€œ You shall live! So gladly bloom in beauty full, Into what freedom has taught you to be, And evermore shall sing your sons: The King, the Law, the Liberty! Faithful to the word that you may speak boldly, For King, for Freedom and for Law! To Law and King and Freedom, hail! The King, the Law, the Liberty",โอ้เบลเยียมที่รัก ดินแดนศักดิ์สิทธิ์ของบรรพบุรุษ จิตวิญญาณและหัวใจของเราอุทิศให้กับคุณ! ด้วยเลือดที่จะหลั่งเพื่อคุณ โอ ปิตุภูมิ! เราสาบานด้วยเสียงร้องเดียวว่า “คุณจะมีชีวิตอยู่!” บานสะพรั่งอย่างยินดีในความงดงามที่เต็มเปี่ยม ในสิ่งที่อิสรภาพสอนให้คุณเป็น และจะร้องเพลงถึงลูกหลานของคุณตลอดไป: กษัตริย์ กฎหมาย เสรีภาพ! ซื่อสัตย์ต่อคำพูดเพื่อที่คุณจะได้พูดอย่างกล้าหาญ เพื่อกษัตริย์ เพื่อเสรีภาพ และเพื่อกฎหมาย! สรรเสริญกฎหมาย กษัตริย์ และเสรีภาพ! กษัตริย์ กฎหมาย เสรีภาพ,โอ้เบลเยียม ที่ รัก   ดินแดน ศักดิ์สิทธิ์ ของ บรรพบุรุษ   จิตวิญญาณ และ หัวใจ ของ เรา อุทิศ ให้ กับ คุณ !   ด้วย เลือด ที่ จะ หลั่ง เพื่อ คุณ  โอ ปิตุภูมิ !   เรา สาบาน ด้วย เสียง ร้อง เดียว ว่า   “ คุณ จะ มี ชีวิต อยู่ ! ”   บาน สะพรั่ง อย่าง ยินดี ใน ความ งดงาม ที่ เต็มเปี่ยม   ใน สิ่ง ที่ อิสรภาพ สอน ให้ คุณ เป็น   และ จะ ร้อง เพลง ถึง ลูกหลาน ของ คุณ ตลอด ไป :   กษัตริย์   กฎหมาย   เสรีภาพ !   ซื่อสัตย์ ต่อ คำ พูด เพื่อ ที่ คุณ จะ ได้ พูด อย่าง กล้าหาญ   เพื่อ กษัตริย์   เพื่อ เสรีภาพ   และ เพื่อ กฎหมาย !   สรรเสริญ กฎหมาย   กษัตริย์   และ เสรีภาพ !   กษัตริย์   กฎหมาย   เสรีภาพ
Bosnia and Herzegovina,"You're the light of the soul Eternal fire's flame Mother of ours, o land of Bosnia I belong to you The beautiful blue sky Of Herzegovina In the heart are your rivers Your mountains Proud and famous Land of ancestors You shall live in our hearts Ever more Generations of yours Show up as one We go into the future Together!",คุณคือแสงสว่างแห่งวิญญาณ เปลวเพลิงนิรันดร์ มารดาแห่งเรา โอ้ ดินแดนบอสเนีย ฉันเป็นของคุณ ท้องฟ้าสีฟ้าอันงดงาม แห่งเฮอร์เซโกวีนา ในหัวใจมีสายน้ำของคุณ ภูเขาของคุณ ดินแดนแห่งบรรพบุรุษที่น่าภาคภูมิใจและโด่งดัง คุณจะมีชีวิตอยู่ในหัวใจของเรา อีกหลายชั่วรุ่นต่อรุ่นของคุณ ปรากฏกายเป็นหนึ่งเดียว เราจะไปสู่อนาคตด้วยกัน!,คุณ คือ แสง สว่าง แห่ง วิญญาณ   เปลว เพลิง นิรันดร์   มารดา แห่ง เรา   โอ้   ดินแดน บอสเนีย   ฉัน เป็น ของ คุณ   ท้อง ฟ้า สี ฟ้าอัน งดงาม   แห่ง เฮอร์เซโกวีนา   ใน หัวใจ มี สาย น้ำ ของ คุณ   ภูเขา ของ คุณ   ดินแดน แห่ง บรรพบุรุษ ที่ น่า ภาคภูมิใจ และ โด่งดัง   คุณ จะ มี ชีวิต อยู่ ใน หัวใจ ของ เรา   อีก หลาย ชั่ว รุ่น ต่อรุ่น ของ คุณ   ปรากฏ กาย เป็น หนึ่ง เดียว   เรา จะ ไป สู่ อนาคต ด้วย กัน !
Bulgaria,"Proud Balkan Mountains, next to it the Danube sparkles, the sun shines over Thrace, and blazes over Pirin. Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Countless fighters died, for our beloved people, mother, give us manly strength to continue their path Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Together, Bulgarian brothers! Moscow is with us in peace and war! A great party leads Our victorious society",ภูเขาบอลข่านอันสง่างาม ข้างๆ กัน แม่น้ำดานูบส่องประกาย พระอาทิตย์ส่องแสงเหนือเทรซ และส่องแสงเหนือปิริน มาตุภูมิที่รัก คุณคือสวรรค์บนดิน ความงามของคุณ ความน่ารักของคุณ โอ้ พวกเขาไร้ขอบเขต นักสู้จำนวนนับไม่ถ้วนเสียชีวิต เพื่อประชาชนอันเป็นที่รักของเรา แม่ โปรดประทานความแข็งแกร่งแบบชายชาตรีให้เราเดินหน้าต่อไป มาตุภูมิที่รัก คุณคือสวรรค์บนดิน ความงามของคุณ ความน่ารักของคุณ โอ้ พวกเขาไร้ขอบเขต พี่น้องชาวบัลแกเรียจงมารวมกัน! มอสโกว์อยู่กับเราในยามสงบและยามสงคราม! พรรคใหญ่เป็นผู้นำสังคมแห่งชัยชนะของเรา,ภูเขาบอล ข่าน อันสง่างาม   ข้าง ๆ   กัน   แม่น้ำดา นูบ ส่อง ประกาย   พระอาทิตย์ ส่อง แสง เหนือ เทรซ   และ ส่อง แสง เหนือ ปิริน  มาตุภูมิ ที่ รัก   คุณ คือ สวรรค์ บน ดิน   ความ งาม ของ คุณ   ความ น่า รัก ของ คุณ  โอ้   พวก เขา ไร้ ขอบเขต   นัก สู้ จำนวน นับ ไม่ ถ้วน เสีย ชีวิต   เพื่อ ประชาชน อัน เป็น ที่รัก ของ เรา   แม่   โปรด ประทาน ความ แข็งแกร่ง แบบ ชายชาตรี ให้ เรา เดินหน้า ต่อ ไป   มาตุภูมิ ที่ รัก   คุณ คือ สวรรค์ บน ดิน   ความ งาม ของ คุณ   ความ น่า รัก ของ คุณ  โอ้   พวก เขา ไร้ ขอบเขต   พี่น้อง ชาว บัลแก เรีย จง มา รวม กัน !   มอสโกว์ อยู่ กับ เรา ใน ยาม สงบ และ ยาม สงคราม !   พรรค ใหญ่ เป็น ผู้ นำ สังคม แห่ง ชัยชนะ ของ เรา
Croatia,"Our beautiful homeland, Oh so fearless and gracious, Our fathers' ancient glory, May you be happy forever. Dear, you are our only glory, Dear, you are our only one, Dear, we love your plains, Dear, we love your mountains. Drava, Sava, keep on flowing, Danube, do not lose your vigour, Deep blue sea, tell the world, That the Croat loves his people. Whilst his fields are kissed by sunshine, Whilst his oaks are whipped by bura winds, Whilst his ancestors lie buried, Whilst his living heart beats.",บ้านเกิดอันงดงามของเรา โอ้ ไร้ความกลัวและสง่างาม เกียรติยศโบราณของบิดาของเรา ขอให้ท่านมีความสุขตลอดไป ที่รัก ท่านคือเกียรติยศเพียงหนึ่งเดียวของเรา ที่รัก ท่านคือหนึ่งเดียวของเรา ที่รัก เรารักที่ราบของท่าน ที่รัก เรารักภูเขาของท่าน ดราวา ซาวา ไหลต่อไป ดานูบ อย่าสูญเสียความแข็งแกร่งของคุณ ท้องทะเลสีน้ำเงินเข้ม บอกโลกนี้ว่าชาวโครแอตรักประชาชนของเขา ขณะที่ทุ่งนาของเขาถูกแสงแดดโอบอุ้ม ขณะที่ต้นโอ๊กของเขาถูกลมพัดปลิว ขณะที่บรรพบุรุษของเขาถูกฝังไว้ ขณะที่หัวใจที่ยังมีชีวิตของเขายังเต้นอยู่,บ้านเกิด อัน งดงาม ของ เรา   โอ้   ไร้ ความ กลัว และ สง่างาม   เกียรติยศ โบราณ ของ บิดา ของ เรา   ขอ ให้ ท่าน มี ความ สุข ตลอด ไป   ที่ รัก   ท่าน คือ เกียรติยศ เพียง หนึ่ง เดียว ของ เรา   ที่รัก   ท่าน คือ หนึ่ง เดียว ของ เรา   ที่ รัก   เรา รัก ที่ ราบ ของ ท่าน   ที่ รัก  เรา รัก ภูเขา ของ ท่าน  ดราวา  ซาวา   ไหล ต่อ ไป   ดานูบ   อย่า สูญเสีย ความ แข็งแกร่ง ของ คุณ   ท้อง ทะเล สี น้ำเงิน เข้ม   บอก โลก นี้ ว่า ชาว โครแอต รัก ประชาชน ของ เขา   ขณะ ที่ ทุ่งนา ของ เขา ถูก แสง แดด โอบอุ้ม   ขณะ ที่ ต้น โอ๊ก ของ เขา ถูก ลม พัด ปลิว   ขณะ ที่ บรรพบุรุษ ของ เขา ถูก ฝัง ไว้   ขณะ ที่ หัวใจ ที่ ยัง มี ชีวิต ของ เขา ยัง เต้น อยู่
Cyprus,"We knew thee of old, O, divinely restored, By the lights of thine eyes, And the light of thy Sword. From the graves of our slain, Shall thy valor prevail, as we greet thee again, Hail, Liberty! Hail!",เราเคยรู้จักเจ้ามาช้านาน โอ ผู้ได้รับการฟื้นฟูโดยพระเจ้า ด้วยแสงแห่งดวงตาของเจ้า และแสงแห่งดาบของเจ้า จากหลุมศพของผู้ถูกสังหารของเรา ความกล้าหาญของเจ้าจะชนะเมื่อเราทักทายเจ้าอีกครั้ง สวัสดี เสรีภาพ! สวัสดี!,เรา เคย รู้จัก เจ้า มา ช้านาน  โอ   ผู้ ได้ รับ การ ฟื้นฟู โดย พระเจ้า   ด้วย แสง แห่ง ดวง ตา ของ เจ้า   และ แสง แห่ง ดาบ ของ เจ้า   จาก หลุม ศพ ของ ผู้ ถูก สังหาร ของ เรา   ความ กล้าหาญ ของ เจ้า จะ ชนะ เมื่อ เรา ทักทาย เจ้า อีก ครั้ง   สวัสดี   เสรีภาพ !   สวัสดี !
